Month of Order Date,Category,Target
18-Apr,Furniture,10400
18-May,Furniture,10500
18-Jun,Furniture,10600
18-Jul,Furniture,10800
18-Aug,Furniture,10900
18-Sep,Furniture,11000
18-Oct,Furniture,11100
18-Nov,Furniture,11300
18-Dec,Furniture,11400
19-Jan,Furniture,11500
19-Feb,Furniture,11600
19-Mar,Furniture,11800
18-Apr,Clothing,12000
18-May,Clothing,12000
18-Jun,Clothing,12000
18-Jul,Clothing,14000
18-Aug,Clothing,14000
18-Sep,Clothing,14000
18-Oct,Clothing,16000
18-Nov,Clothing,16000
18-Dec,Clothing,16000
19-Jan,Clothing,16000
19-Feb,Clothing,16000
19-Mar,Clothing,16000
18-Apr,Electronics,9000
18-May,Electronics,9000
18-Jun,Electronics,9000
18-Jul,Electronics,9000
18-Aug,Electronics,9000
18-Sep,Electronics,9000
18-Oct,Electronics,9000
18-Nov,Electronics,9000
18-Dec,Electronics,9000
19-Jan,Electronics,16000
19-Feb,Electronics,16000
19-Mar,Electronics,16000
